IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
154	vault	Enumeration	27932	674	12	23	Enumeration/Cheatsheet - Infrastructure Enumeration Tools 1.md	Basic query — good starting point
155	vault	Enumeration	31136	839	11	19	Enumeration/Credential Hunting.md	Basic recursive search (case-insensitive, whole word, suppress errors)
156	vault	Enumeration	37153	1417	20	84	Enumeration/ffuf_cheat_sheet.md	ffuf Cheat Sheet
157	vault	Enumeration	18961	476	10	18	Enumeration/GitHub-Enum/2.4 - Cheatsheet - Gitleaks.md	macOS — Homebrew
158	vault	Enumeration	28585	640	10	17	Enumeration/GitHub-Enum/2.5 - Cheatsheet - TruffleHog.md	macOS — Homebrew
159	vault	Enumeration	4854	77	4	0	Enumeration/LFI - Cheat Sheet.md	LFI - Cheat Sheet
160	vault	Enumeration	36779	994	14	21	Enumeration/Nikto & Nuclei - Web Scanner Cheatsheets.md	Nikto
161	vault	Enumeration	18012	368	11	14	Enumeration/Nmap Cheatsheet 2026.md	Then just tap spacebar anytime to force an immediate progress line
162	vault	Enumeration	70320	1627	33	45	Enumeration/NSE Guide.md	Safe FTP enumeration
163	vault	Enumeration	3445	159	7	13	Enumeration/rustscan-usage.md	Runs: rustscan -a 192.168.1.1 -b 65535 -t 3000
164	vault	Enumeration	22440	858	17	73	Enumeration/rustscan.md	RustScan Comprehensive Cheat Sheet
165	vault	Enumeration	18034	589	17	60	Enumeration/RustScan_Cheatsheet.md	RustScan Cheat Sheet
166	vault	Enumeration	18061	416	7	12	Enumeration/SMBMAP.md	Null session (anonymous)
167	vault	Enumeration	15579	549	15	28	Enumeration/Windows Emumeration.md	Windows Enumeration Cheat Sheet
168	vault	Enumeration	24486	773	15	59	Enumeration/WPScan 1.md	WPScan 1
169	vault	Enumeration	43195	866	13	25	Enumeration/WPScan.md	Basic scan with API token
170	vault	Exploitation	87715	1921	13	53	Exploitation/Implementation Roadmap Strategic Workflow for Windows Privilege Escalation.md	Enable ALL disabled privileges (requires scripts)
171	vault	Exploitation	57693	2244	59	247	Exploitation/Jailbreak - TTY Upgrade.md	TTY Upgrades, Shell Stabilisation & Restricted Shell Escapes
172	vault	Exploitation	19951	541	4	38	Exploitation/sqlmap Cheat Sheet - SQL Injection Testing & Data Extraction.md	Basic GET parameter test
173	vault	Exploitation	29330	659	10	20	Exploitation/sqlmap.md	Ultimate SQLMap Cheat Sheet
174	vault	Exploitation	17715	800	8	74	Exploitation/TTY and Escaping Restricted Env.md	Interactive Shells & Restricted Shell Escapes — Cheat Sheet
175	vault	Git	13574	365	9	14	Git/Branches Expanded.md	Initialise the repo if you haven't already
176	vault	Git	19298	497	1	21	Git/Branches.md	Full default log (opens pager)
177	vault	Git	6039	159	5	4	Git/Git — Move Existing Edits to a New Branch (Railway Site).md	1. Create a new branch AND switch to it immediately
178	vault	Git	31689	820	10	46	Git/git-cheatsheet.md	Git Cheat Sheet
179	vault	Git	9121	241	6	6	Git/Resetting.md	Check current state of working tree and staging area
180	vault	HashingAndEncrypting	19786	703	14	37	HashingAndEncrypting/Hashing cheat sheet .md	Manual Hashing Cheat Sheet
181	vault	Linux	22933	549	6	30	Linux/Find Command.md	Find files by name (case-insensitive)
182	vault	Linux	15537	804	9	37	Linux/Linux File & Directory Search Cheat Sheet.md	Linux File & Directory Search Cheat Sheet
183	vault	Linux	13147	347	10	15	Linux/RDP CheatSheet.md	macOS: native SDL client (recommended)
184	vault	Misc	19693	776	9	25	Misc/Pivoting and Tunnelling .md	Pivoting & Port Forwarding Cheat Sheet
185	vault	Misc	3491	89	5	9	Misc/smbshare.md	Impacket SMB Share Cheat Sheet
186	vault	Misc	10501	476	12	50	Misc/sponge-cheatsheet.md	🧽 Sponge Command Cheat Sheet
187	vault	Misc	11572	451	13	26	Misc/SSH Portfwding with metasploit .md	SSH Tunneling with Metasploit: A Complete Guide (Pandora HTB Edition)
188	vault	Misc	10884	404	21	6	Misc/tmux.md	🐉 Complete Tmux Cheat Sheet for Your Config
189	vault	Misc	35728	1471	15	93	Misc/Tunneling.md	Tunneling Tools Cheatsheet
190	vault	PasswordAttacks	24928	97	0	0	PasswordAttacks/hashcat modes.md	hashcat modes
191	vault	PasswordAttacks	9709	262	11	12	PasswordAttacks/hashcat-cheatsheet.md	Hashcat Cheat Sheet
192	vault	PasswordAttacks	13058	339	11	13	PasswordAttacks/john-cheatsheet.md	John the Ripper Cheat Sheet
193	vault	PrivEsc	5336	37	0	0	PrivEsc/Linux PrivEsc Cheat Sheet.md	Linux PrivEsc Cheat Sheet
194	vault	PrivEsc	71700	2273	31	118	PrivEsc/PrivEsc - Windows.md	Windows Privilege Escalation Master Guide (December 2025 Edition)
195	vault	PrivEsc	80395	1794	22	72	PrivEsc/Windows PrivEsc.md	1. Enable the privilege (disabled by default)
196	vault	Tools	10780	289	12	6	Tools/BloodHound-Cheatsheet.md	BloodHound Cheatsheet
197	vault	Tools	8396	225	12	5	Tools/Certipy-ADCS-Cheatsheet.md	Certipy AD CS Cheatsheet
198	vault	Tools	71280	2541	29	161	Tools/CMD-Powershell Cheat Sheet.md	Windows Penetration Testing Cheat Sheet
199	vault	Tools	7121	174	10	3	Tools/Cobalt-Strike-Cheatsheet.md	Cobalt Strike Cheatsheet
200	vault	Tools	15845	640	18	45	Tools/dd tool.md	Linux `dd` Command: Complete Guide and Cheat Sheet
201	vault	Tools	12434	360	15	10	Tools/EyeWitness-Cheatsheet.md	EyeWitness Cheatsheet
202	vault	Tools	8633	264	12	6	Tools/Ffuf-Cheatsheet.md	ffuf Cheatsheet
203	vault	Tools	43028	1013	16	28	Tools/fscan.md	Linux (raw ICMP, requires root or CAP_NET_RAW)
204	vault	Tools	26557	676	17	20	Tools/gobuster.md	Gobuster Cheat Sheet
205	vault	Tools	10573	305	14	8	Tools/Hashcat-Cheatsheet.md	Hashcat Cheatsheet
206	vault	Tools	8736	284	14	11	Tools/Impacket-Cheatsheet.md	Impacket Cheatsheet
207	vault	Tools	17216	640	12	64	Tools/Impacket.md	Impacket Field Manual: Core Tools Deep Dive
208	vault	Tools	34051	809	15	30	Tools/Internet-Archival-Guide/Internet Archival Guide.md	Linux
209	vault	Tools	2034	54	1	1	Tools/Internet-Archival-Guide/scripts/README.md	Archival Scripts
210	vault	Tools	55540	2110	28	74	Tools/Ligolo-ng Cheat sheet.md	Installation (Kali)
211	vault	Tools	48422	988	12	21	Tools/meterpreter.md	In msfconsole
212	vault	Tools	6170	196	11	6	Tools/Mimikatz-Cheatsheet.md	Mimikatz Cheatsheet
213	vault	Tools	26928	968	21	50	Tools/Netexec (nxc) Cheat Sheet.md	Netexec (nxc) Cheat Sheet - 2025 Edition
214	vault	Tools	15397	558	13	30	Tools/NetExec - SpiderPlus.md	NetExec Spider Module Guide - Downloading Files from SMB Shares
215	vault	Tools	10537	322	14	9	Tools/NetExec-Cheatsheet.md	NetExec (nxc) Cheatsheet
216	vault	Tools	9111	237	12	6	Tools/NTLM-Kerberos-Relay-Cheatsheet.md	NTLM / Kerberos Relay Cheatsheet
217	vault	Tools	27772	748	19	21	Tools/Nuclei-Cheatsheet.md	Nuclei Cheatsheet (v3.x)
218	vault	Tools	11024	372	10	21	Tools/pcap-credential-extraction-cheatsheet.md	PCAP Credential Extraction Cheat Sheet
219	vault	Tools	38989	1173	1	73	Tools/Powershell.md	Or use the alias:
220	vault	Tools	8868	240	11	5	Tools/Rubeus-Cheatsheet.md	Rubeus Cheatsheet
221	vault	Tools	3697	120	4	10	Tools/smbserver.py.md	📂 Impacket smbserver.py Usage Guide
222	vault	Tools	33133	1077	19	48	Tools/TAR.md	The Ultimate `tar` Cheat Sheet
223	vault	Tools	11344	403	14	42	Tools/Tshark.md	TShark Cheat Sheet
224	vault	Tools	0	1	0	0	Tools/Username Anarchy.md	Username Anarchy
225	vault	Tools	15382	334	14	11	Tools/webfuzz.md	Requirements: ffuf, python3, curl (all present on the working box). SecLists optional.
226	vault	Web	16261	420	9	13	Web/Blind XSS Tool - ezXSS.md	Blind XSS Tool — ezXSS `fas:ClipboardList`
227	vault	Web	18380	478	9	17	Web/Blind XSS Tool - Interactsh.md	Blind XSS Tool — Interactsh `fas:ClipboardList`
228	vault	Web	15354	379	8	13	Web/Blind XSS Tool - XSS Hunter.md	Blind XSS Tool — XSS Hunter `fas:ClipboardList`
229	vault	Web	22932	426	10	8	Web/Cross-Site Scripting (XSS) - HTB Cheat Sheet.md	Cross-Site Scripting (XSS) — HTB Cheat Sheet `fas:ClipboardList`
230	vault	Web	22408	487	18	26	Web/Phishing Site & Link Identification - Cheat Sheet.md	Phishing Site & Link Identification — Cheat Sheet
231	vault	macOS	22150	793	23	40	macOS/macOS Terminal Tweaks Cheat Sheet.md	🍎 macOS Hidden Terminal Tweaks — Cheat Sheet
