IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
36	vault	ActiveDirectory	13436	336	14	13	ActiveDirectory/ACL-ESC-Techniques/ESC6 — EDITF_ATTRIBUTESUBJECTALTNAME2 Flag.md	ESC6 — EDITF_ATTRIBUTESUBJECTALTNAME2 Flag
37	vault	ActiveDirectory	16883	448	14	19	ActiveDirectory/ACL-ESC-Techniques/ESC7 — Vulnerable CA Access Control (ManageCA  ManageCertificates).md	ESC7 — Vulnerable CA Access Control (ManageCA / ManageCertificates)
38	vault	ActiveDirectory	17490	376	11	15	ActiveDirectory/ACL-ESC-Techniques/ESC8 — NTLM Relay to ADCS HTTP Web Enrollment.md	ESC8 — NTLM Relay to ADCS HTTP Web Enrollment
39	vault	ActiveDirectory	20390	498	19	19	ActiveDirectory/ACL-ESC-Techniques/ESC9 — No Security Extension (Template-Level).md	ESC9 — No Security Extension (Template-Level)
40	vault	ActiveDirectory	12710	328	17	14	ActiveDirectory/ACL-ESC-Techniques/Golden Certificate Attack — DPERSIST1.md	Golden Certificate Attack — DPERSIST1
41	vault	ActiveDirectory	3518	101	8	4	ActiveDirectory/ACL-ESC-Techniques/PERSIST1 — Active User Credential Theft via Certificates.md	PERSIST1 — Active User Credential Theft via Certificates
42	vault	ActiveDirectory	3280	98	8	4	ActiveDirectory/ACL-ESC-Techniques/PERSIST2 — Machine Account Persistence via Certificates.md	PERSIST2 — Machine Account Persistence via Certificates
43	vault	ActiveDirectory	3580	102	7	5	ActiveDirectory/ACL-ESC-Techniques/PERSIST3 — Account Persistence via Certificate Renewal.md	PERSIST3 — Account Persistence via Certificate Renewal
44	vault	ActiveDirectory	7508	190	11	12	ActiveDirectory/ACL-ESC-Techniques/Shadow Credentials — msDS-KeyCredentialLink Abuse.md	Shadow Credentials — msDS-KeyCredentialLink Abuse
45	vault	ActiveDirectory	4647	134	9	7	ActiveDirectory/ACL-ESC-Techniques/THEFT1 — Exporting Certificates and Keys.md	THEFT1 — Exporting Certificates and Keys
46	vault	ActiveDirectory	4040	121	8	7	ActiveDirectory/ACL-ESC-Techniques/THEFT2 — User Certificate Theft via DPAPI.md	THEFT2 — User Certificate Theft via DPAPI
47	vault	ActiveDirectory	3686	110	8	5	ActiveDirectory/ACL-ESC-Techniques/THEFT3 — Machine Certificate Theft via DPAPI.md	THEFT3 — Machine Certificate Theft via DPAPI
48	vault	ActiveDirectory	3481	120	8	6	ActiveDirectory/ACL-ESC-Techniques/THEFT4 — Finding Certificate Files.md	THEFT4 — Finding Certificate Files
49	vault	ActiveDirectory	4350	133	9	7	ActiveDirectory/ACL-ESC-Techniques/THEFT5 — NTLM Theft via PKINIT (UnPAC-the-Hash).md	THEFT5 — NTLM Theft via PKINIT (UnPAC-the-Hash)
50	vault	ActiveDirectory	53345	1369	10	75	ActiveDirectory/Active-Directory_cheat_sheet.md	Active Directory Exploitation Cheat Sheet
51	vault	ActiveDirectory	2985	79	6	3	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #61 — Skeleton Key Attack.md	🟤 Attack #61 — Skeleton Key Attack
52	vault	ActiveDirectory	2858	73	5	3	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #62 — DSRM Backdoor Abuse.md	🟤 Attack #62 — DSRM Backdoor Abuse
53	vault	ActiveDirectory	2553	69	5	2	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #63 — SID History Injection.md	🟤 Attack #63 — SID History Injection
